uid,label,voice_opp_num_unique_count,voice_opp_num_count,voice_opp_head_unique_count,voice_opp_len_3,voice_opp_len_5,voice_opp_len_6,voice_opp_len_7,voice_opp_len_8,voice_opp_len_9,voice_opp_len_10,voice_opp_len_11,voice_opp_len_12,voice_opp_len_13,voice_opp_len_15,voice_opp_len_16,voice_call_len_1,voice_call_len_2,voice_call_len_3,voice_in_out_0,voice_in_out_1,voice_time_less_than_1min,voice_time_more_than_60min,sms_opp_num_unique_count,sms_opp_num_count,sms_opp_head_unique_count,sms_opp_len_5,sms_opp_len_7,sms_opp_len_8,sms_opp_len_9,sms_opp_len_10,sms_opp_len_11,sms_opp_len_12,sms_opp_len_13,sms_opp_len_14,sms_in_out_0,sms_in_out_1,wa_name_unique_count,wa_name_count,wa_visit_cnt_std,wa_visit_cnt_max,wa_visit_cnt_median,wa_visit_cnt_mean,wa_visit_cnt_sum,wa_visit_dura_std,wa_visit_dura_max,wa_visit_dura_min,wa_visit_dura_median,wa_visit_dura_mean,wa_visit_dura_sum,wa_up_flow_std,wa_up_flow_max,wa_up_flow_min,wa_up_flow_median,wa_up_flow_mean,wa_up_flow_sum,wa_down_flowstd,wa_down_flowmax,wa_down_flowmin,wa_down_flowmedian,wa_down_flowmean,wa_down_flowsum,sms_in_out_diff,voice_in_out_diff,voice_opp_num_unique_count_ratio,voice_opp_len12_ratio,voice_call_len1andlen3_ratio,sms_opp_len11andlen13_ratio,mean_diff_wa_up_and_wa_down
u0001,0,22.0,79.0,17.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,74.0,2.0,0.0,0.0,0.0,79.0,0.0,0.0,33.0,46.0,79.0,79.0,11.0,95.0,6.0,0.0,0.0,2.0,10.0,0.0,75.0,8.0,0.0,0.0,39.0,56.0,181,1155,290.4752376376153,3747.0,5.0,84.58354978354978,97694.0,296715.31950601266,3009726.0,0.0,6007.0,96725.4987012987,111717951.0,749185.3799479194,10720264.0,0.0,6067.0,172279.36277056276,198982664.0,4243114.611101141,58773144.0,0.0,9683.0,832540.5896103897,961584381.0,-0.17894736842105263,-0.16455696202531644,0.27848101265822783,0.02531645569620253,2.0,0.7894736842105263,-660261.2268398269
u0002,0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5,29,6.412733637799063,24.0,4.0,6.137931034482759,178.0,19554.84390944249,62819.0,0.0,9990.0,15229.413793103447,441653.0,5429.253721317817,22319.0,0.0,2453.0,4433.551724137931,128573.0,3908.228822253579,15438.0,0.0,1656.0,3267.206896551724,94749.0,-1.0,1.0,1.0,0.0,2.0,1.0,1166.344827586207
u0003,0,15.0,21.0,10.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,7.0,14.0,21.0,21.0,2.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,20.0,0.0,0.0,28.0,178,1167,62.82535320905471,1227.0,4.0,20.388174807197945,23793.0,83464.17983801753,1118099.0,0.0,4247.0,25471.85775492716,29725658.0,356624.13840547955,8915918.0,0.0,3633.0,60843.13881748072,71003943.0,14454211.297651505,457021859.0,0.0,5632.0,1115880.526992288,1302232575.0,-1.0,-0.3333333333333333,0.7142857142857143,0.0,2.0,1.0,-1055037.3881748072
u0004,0,77.0,254.0,31.0,0.0,1.0,0.0,0.0,12.0,0.0,1.0,219.0,21.0,0.0,0.0,0.0,218.0,6.0,30.0,133.0,121.0,254.0,254.0,10.0,124.0,8.0,2.0,0.0,3.0,18.0,1.0,100.0,0.0,0.0,0.0,19.0,105.0,298,1680,109.9122630936283,1568.0,3.0,33.70892857142857,56631.0,128052.49118737185,2008191.0,0.0,4697.0,40928.32261904762,68759582.0,932711.4358055269,27479806.0,0.0,5785.5,181739.73452380954,305322754.0,15649554.605586015,513377344.0,0.0,14205.0,2082341.1089285715,3498333063.0,-0.6935483870967742,0.047244094488188976,0.3031496062992126,0.08267716535433071,1.7165354330708662,0.8064516129032258,-1900601.374404762
u0005,0,55.0,401.0,28.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,397.0,0.0,0.0,0.0,0.0,398.0,0.0,3.0,177.0,224.0,401.0,401.0,4.0,48.0,4.0,0.0,0.0,2.0,13.0,0.0,33.0,0.0,0.0,0.0,2.0,46.0,130,641,58.9974812056544,620.0,3.0,21.58346333853354,13835.0,72239.47488178046,890073.0,0.0,4281.0,25504.252730109205,16348226.0,507181.73174484185,12441601.0,0.0,4101.0,63241.51170046803,40537809.0,1617302.4984088012,28858654.0,0.0,6916.0,355616.255850234,227950020.0,-0.9166666666666666,-0.1172069825436409,0.1371571072319202,0.0,1.9850374064837906,0.6875,-292374.744149766
u0006,0,21.0,44.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,39.0,5.0,0.0,8.0,36.0,44.0,44.0,3.0,30.0,3.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,20.0,0.0,1.0,29.0,164,485,59.782370142388345,671.0,3.0,15.40618556701031,7472.0,70705.78764276428,972334.0,0.0,2675.0,17260.98556701031,8371578.0,2105439.0170051013,46095985.0,0.0,2309.0,129938.41030927836,63020129.0,5077494.730493045,103213976.0,0.0,2608.0,475507.7587628866,230621263.0,-0.9333333333333333,-0.6363636363636364,0.4772727272727273,0.0,1.7727272727272727,0.9666666666666667,-345569.3484536082
u0007,0,60.0,101.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,96.0,0.0,0.0,0.0,0.0,98.0,1.0,2.0,37.0,64.0,101.0,101.0,2.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,28.0,0.0,0.0,42.0,209,1316,90.34253483992815,1385.0,4.0,29.57142857142857,38916.0,110932.74770022355,2039039.0,0.0,4160.5,32622.48556231003,42931191.0,942149.5551631136,32109547.0,0.0,4432.0,93369.75911854104,122874603.0,7410819.691318646,112836250.0,0.0,7505.5,1075189.770516717,1414949738.0,-1.0,-0.26732673267326734,0.594059405940594,0.0,1.9405940594059405,1.0,-981820.0113981761
u0008,0,71.0,234.0,30.0,0.0,3.0,0.0,0.0,19.0,0.0,0.0,210.0,2.0,0.0,0.0,0.0,234.0,0.0,0.0,135.0,99.0,234.0,234.0,10.0,379.0,7.0,2.0,0.0,1.0,15.0,1.0,355.0,5.0,0.0,0.0,150.0,229.0,171,1068,75.29285088116288,570.0,3.0,26.77996254681648,28601.0,89596.61702023943,713696.0,0.0,3500.0,31281.470037453182,33408610.0,314188.3312057229,4573135.0,0.0,4071.0,79271.781835206,84662263.0,5089597.563696271,135764689.0,0.0,7290.0,734740.0337078652,784702356.0,-0.20844327176781002,0.15384615384615385,0.3034188034188034,0.008547008547008548,2.0,0.9366754617414248,-655468.2518726592
u0009,0,21.0,96.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,81.0,1.0,14.0,36.0,60.0,96.0,96.0,2.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,15.0,157,1068,72.07524745766565,782.0,5.0,28.168539325842694,30084.0,96882.03142637896,898854.0,0.0,5846.0,35580.85674157304,38000355.0,1750673.3100339302,51606288.0,0.0,5681.5,160329.64419475655,171232060.0,12910603.772561738,337656393.0,0.0,7619.0,1936440.9119850188,2068118894.0,-1.0,-0.25,0.21875,0.0,1.6875,1.0,-1776111.2677902621
u0010,0,37.0,130.0,31.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,121.0,0.0,9.0,63.0,67.0,130.0,130.0,2.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,7.0,0.0,0.0,34.0,32,87,312.2276840770046,2445.0,6.0,79.9655172413793,6957.0,372380.9183121319,2882400.0,0.0,3741.0,82942.88505747129,7216031.0,571037.4043728694,4814235.0,66.0,2829.0,106258.16091954024,9244460.0,15641405.578591084,138291157.0,0.0,1085.0,2418370.4827586208,210398232.0,-1.0,-0.03076923076923077,0.2846153846153846,0.0,1.8615384615384616,1.0,-2312112.3218390807
