uid,label,voice_opp_num_unique_count,voice_opp_num_count,voice_opp_head_unique_count,voice_opp_len_3,voice_opp_len_5,voice_opp_len_6,voice_opp_len_7,voice_opp_len_8,voice_opp_len_9,voice_opp_len_10,voice_opp_len_11,voice_opp_len_12,voice_opp_len_13,voice_opp_len_14,voice_opp_len_15,voice_opp_len_16,voice_opp_len_17,voice_opp_len_18,voice_opp_len_19,voice_opp_len_20,voice_opp_len_21,voice_opp_len_22,voice_opp_len_25,voice_call_len_1,voice_call_len_2,voice_call_len_3,voice_call_len_4,voice_call_len_5,voice_in_out_0,voice_in_out_1,voice_time_less_than_1min,voice_time_1min_to_2min,voice_time_2min_to_3min,voice_time_3min_to_4min,voice_time_4min_to_5min,voice_time_5min_to_6min,voice_time_6min_to_7min,voice_time_7min_to_8min,voice_time_8min_to_9min,voice_time_9min_to_10min,voice_time_10min_to_30min,voice_time_30min_to_60min,voice_time_more_than_60min,sms_opp_num_unique_count,sms_opp_num_count,sms_opp_head_unique_count,sms_opp_len_2,sms_opp_len_3,sms_opp_len_4,sms_opp_len_5,sms_opp_len_6,sms_opp_len_7,sms_opp_len_8,sms_opp_len_9,sms_opp_len_10,sms_opp_len_11,sms_opp_len_12,sms_opp_len_13,sms_opp_len_14,sms_opp_len_15,sms_opp_len_16,sms_opp_len_17,sms_opp_len_18,sms_opp_len_19,sms_opp_len_20,sms_in_out_0,sms_in_out_1,wa_name_unique_count,wa_name_count,wa_visit_cnt_std,wa_visit_cnt_max,wa_visit_cnt_min,wa_visit_cnt_median,wa_visit_cnt_mean,wa_visit_cnt_sum,wa_visit_dura_std,wa_visit_dura_max,wa_visit_dura_min,wa_visit_dura_median,wa_visit_dura_mean,wa_visit_dura_sum,wa_up_flow_std,wa_up_flow_max,wa_up_flow_min,wa_up_flow_median,wa_up_flow_mean,wa_up_flow_sum,wa_down_flowstd,wa_down_flowmax,wa_down_flowmin,wa_down_flowmedian,wa_down_flowmean,wa_down_flowsum
u0001,0,22.0,79.0,17.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,74.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,33.0,46.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,11.0,95.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,75.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,56.0,181,1155,290.4752376376153,3747.0,1.0,5.0,84.58354978354978,97694.0,296715.31950601266,3009726.0,0.0,6007.0,96725.4987012987,111717951.0,749185.3799479193,10720264.0,0.0,6067.0,172279.36277056276,198982664.0,4243114.611101141,58773144.0,0.0,9683.0,832540.5896103897,961584381.0
u0002,0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,29,6.412733637799063,24.0,1.0,4.0,6.137931034482759,178.0,19554.84390944249,62819.0,0.0,9990.0,15229.413793103447,441653.0,5429.253721317816,22319.0,0.0,2453.0,4433.551724137931,128573.0,3908.2288222535794,15438.0,0.0,1656.0,3267.206896551724,94749.0
u0003,0,15.0,21.0,10.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,7.0,14.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,178,1167,62.82535320905471,1227.0,1.0,4.0,20.388174807197945,23793.0,83464.17983801752,1118099.0,0.0,4247.0,25471.857754927165,29725658.0,356624.1384054795,8915918.0,0.0,3633.0,60843.13881748072,71003943.0,14454211.297651503,457021859.0,0.0,5632.0,1115880.526992288,1302232575.0
u0004,0,77.0,254.0,31.0,0.0,1.0,0.0,0.0,12.0,0.0,1.0,219.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,6.0,30.0,0.0,0.0,133.0,121.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,10.0,124.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,18.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,105.0,298,1680,109.9122630936283,1568.0,1.0,3.0,33.70892857142857,56631.0,128052.49118737184,2008191.0,0.0,4697.0,40928.32261904762,68759582.0,932711.4358055269,27479806.0,0.0,5785.5,181739.73452380951,305322754.0,15649554.605586015,513377344.0,0.0,14205.0,2082341.1089285715,3498333063.0
u0005,0,55.0,401.0,28.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.0,0.0,3.0,0.0,0.0,177.0,224.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.0,4.0,48.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,46.0,130,641,58.99748120565441,620.0,1.0,3.0,21.58346333853354,13835.0,72239.47488178046,890073.0,0.0,4281.0,25504.252730109205,16348226.0,507181.7317448419,12441601.0,0.0,4101.0,63241.51170046802,40537809.0,1617302.4984088014,28858654.0,0.0,6916.0,355616.255850234,227950020.0
u0006,0,21.0,44.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,5.0,0.0,0.0,0.0,8.0,36.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,3.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,164,485,59.782370142388345,671.0,1.0,3.0,15.40618556701031,7472.0,70705.78764276428,972334.0,0.0,2675.0,17260.98556701031,8371578.0,2105439.0170051013,46095985.0,0.0,2309.0,129938.41030927835,63020129.0,5077494.7304930445,103213976.0,0.0,2608.0,475507.7587628866,230621263.0
u0007,0,60.0,101.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,1.0,2.0,0.0,0.0,37.0,64.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,2.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,209,1316,90.34253483992816,1385.0,1.0,4.0,29.571428571428573,38916.0,110932.74770022355,2039039.0,0.0,4160.5,32622.48556231003,42931191.0,942149.5551631137,32109547.0,0.0,4432.0,93369.75911854103,122874603.0,7410819.691318646,112836250.0,0.0,7505.5,1075189.7705167173,1414949738.0
u0008,0,71.0,234.0,30.0,0.0,3.0,0.0,0.0,19.0,0.0,0.0,210.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,0.0,0.0,0.0,135.0,99.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,10.0,379.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,15.0,1.0,355.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,229.0,171,1068,75.29285088116288,570.0,1.0,3.0,26.779962546816478,28601.0,89596.61702023943,713696.0,0.0,3500.0,31281.470037453182,33408610.0,314188.33120572293,4573135.0,0.0,4071.0,79271.781835206,84662263.0,5089597.563696271,135764689.0,0.0,7290.0,734740.0337078652,784702356.0
u0009,0,21.0,96.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,1.0,14.0,0.0,0.0,36.0,60.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,2.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,157,1068,72.07524745766565,782.0,1.0,5.0,28.168539325842698,30084.0,96882.03142637896,898854.0,0.0,5846.0,35580.856741573036,38000355.0,1750673.3100339305,51606288.0,0.0,5681.5,160329.64419475655,171232060.0,12910603.772561738,337656393.0,0.0,7619.0,1936440.9119850188,2068118894.0
u0010,0,37.0,130.0,31.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,9.0,0.0,0.0,63.0,67.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,2.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,32,87,312.22768407700465,2445.0,1.0,6.0,79.96551724137932,6957.0,372380.9183121319,2882400.0,0.0,3741.0,82942.88505747127,7216031.0,571037.4043728694,4814235.0,66.0,2829.0,106258.16091954023,9244460.0,15641405.578591084,138291157.0,0.0,1085.0,2418370.4827586208,210398232.0
